NOMBRE_DPT,value,year
QUINDIO,3226,2019
QUINDIO,2751,2020
QUINDIO,2393,2021
RISARALDA,3768,2002
RISARALDA,9871,2003
RISARALDA,5910,2004
RISARALDA,3396,2005
RISARALDA,4470,2006
RISARALDA,4608,2007
RISARALDA,7331,2008
RISARALDA,6923,2009
RISARALDA,3111,2010
RISARALDA,2904,2011
RISARALDA,5500,2012
RISARALDA,2285,2013
RISARALDA,5595,2014
RISARALDA,4817,2015
RISARALDA,9592,2016
RISARALDA,13416,2017
RISARALDA,8437,2018
RISARALDA,6285,2019
RISARALDA,8638,2020
RISARALDA,6810,2021
SANTANDER,21406,2002
SANTANDER,10244,2003
SANTANDER,37761,2004
SANTANDER,21877,2005
SANTANDER,26228,2006
SANTANDER,49678,2007
SANTANDER,23008,2008
SANTANDER,21002,2009
SANTANDER,21921,2010
SANTANDER,26332,2011
SANTANDER,16191,2012
SANTANDER,13234,2013
SANTANDER,21336,2014
SANTANDER,11840,2015
SANTANDER,25687,2016
SANTANDER,44555,2017
SANTANDER,58635,2018
SANTANDER,34628,2019
SANTANDER,55073,2020
SANTANDER,42310,2021
SUCRE,6965,2002
SUCRE,2516,2003
SUCRE,12153,2004
SUCRE,2454,2005
SUCRE,8320,2006
SUCRE,4503,2007
SUCRE,5479,2008
SUCRE,8078,2009
SUCRE,4053,2010
SUCRE,2802,2011
SUCRE,7891,2012
SUCRE,2605,2013
SUCRE,3205,2014
SUCRE,3730,2015
SUCRE,5868,2016
SUCRE,8413,2017
SUCRE,2154,2018
SUCRE,3066,2019
SUCRE,5366,2020
SUCRE,5855,2021
TOLIMA,5097,2002
TOLIMA,4203,2003
TOLIMA,6541,2004
TOLIMA,4717,2005
TOLIMA,4470,2006
TOLIMA,7474,2007
TOLIMA,7136,2008
TOLIMA,10800,2009
TOLIMA,10017,2010
TOLIMA,5990,2011
TOLIMA,14081,2012
TOLIMA,6291,2013
TOLIMA,12924,2014
TOLIMA,9805,2015
TOLIMA,24082,2016
TOLIMA,17868,2017
TOLIMA,17432,2018
TOLIMA,16696,2019
TOLIMA,15913,2020
TOLIMA,18614,2021
VALLE DEL CAUCA,14307,2002
VALLE DEL CAUCA,4287,2003
VALLE DEL CAUCA,9696,2004
VALLE DEL CAUCA,9891,2005
VALLE DEL CAUCA,5056,2006
VALLE DEL CAUCA,12510,2007
VALLE DEL CAUCA,10549,2008
VALLE DEL CAUCA,8545,2009
VALLE DEL CAUCA,7849,2010
VALLE DEL CAUCA,9387,2011
VALLE DEL CAUCA,12140,2012
VALLE DEL CAUCA,13147,2013
VALLE DEL CAUCA,14844,2014
VALLE DEL CAUCA,12241,2015
VALLE DEL CAUCA,20727,2016
VALLE DEL CAUCA,24898,2017
VALLE DEL CAUCA,23771,2018
VALLE DEL CAUCA,22171,2019
VALLE DEL CAUCA,28332,2020
VALLE DEL CAUCA,21580,2021
ARAUCA,941,2002
ARAUCA,292,2003
ARAUCA,545,2004
ARAUCA,796,2005
ARAUCA,914,2006
ARAUCA,370,2007
ARAUCA,357,2008
ARAUCA,615,2009
ARAUCA,725,2010
ARAUCA,1063,2011
ARAUCA,1206,2012
ARAUCA,185,2013
ARAUCA,386,2014
ARAUCA,140,2015
ARAUCA,515,2016
ARAUCA,1321,2017
ARAUCA,439,2018
ARAUCA,683,2019
ARAUCA,233,2020
